name,id,album,artists,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,genres,cluster_label
"All The Way Live (Spider-Man: Across the Spider-Verse) (Metro Boomin & Future, Lil Uzi Vert)",3P5Y502AyUpxpF9u3F5D5O,METRO BOOMIN PRESENTS SPIDER-MAN: ACROSS THE SPIDER-VERSE (SOUNDTRACK FROM AND INSPIRED BY THE MOTION PICTURE / DELUXE EDITION),"['Metro Boomin', 'Future', 'Lil Uzi Vert']",0.177,0.775,0.555,0.00352,0.208,-7.283,0.154,135.004,0.271,"['melodic rap', 'rap', 'rage rap', 'southern hip hop', 'atl hip hop', 'hip hop', 'philly rap', 'trap']",7
Tumblr Girls (feat. Christoph Andersson),4Fv6wNYUixnYkj3Dgfrls8,These Things Happen,"['G-Eazy', 'Christoph Andersson']",0.101,0.49,0.373,0.000105,0.128,-9.762,0.26,121.889,0.346,"['indie pop rap', 'rap', 'pop rap', 'oakland hip hop']",7
BUTTERFLY EFFECT,2cYqizR4lgvp4Qu6IQ3qGN,ASTROWORLD,['Travis Scott'],0.0531,0.763,0.628,0.0,0.114,-5.85,0.05,140.958,0.193,"['rap', 'slap house']",7
"Link Up (Metro Boomin & Don Toliver, Wizkid feat. BEAM & Toian) - Spider-Verse Remix (Spider-Man: Across the Spider-Verse )",1Nt2hriTBfB01E78j5NSlL,METRO BOOMIN PRESENTS SPIDER-MAN: ACROSS THE SPIDER-VERSE (SOUNDTRACK FROM AND INSPIRED BY THE MOTION PICTURE / DELUXE EDITION),"['Metro Boomin', 'Don Toliver', 'Wizkid', 'BEAM', 'Toian']",0.427,0.929,0.515,0.596,0.226,-8.103,0.0629,101.009,0.589,"['afrobeats', 'rap', 'nigerian pop', 'afropop', 'trap soul', 'canadian hip hop', 'nigerian hip hop', 'azonto']",7
Self Love (Spider-Man: Across the Spider-Verse) (Metro Boomin & Coi Leray),1u9lNX1J8SglZMSxXwwlij,METRO BOOMIN PRESENTS SPIDER-MAN: ACROSS THE SPIDER-VERSE (SOUNDTRACK FROM AND INSPIRED BY THE MOTION PICTURE / DELUXE EDITION),"['Metro Boomin', 'Coi Leray']",0.199,0.751,0.3,0.000341,0.127,-9.404,0.0584,120.097,0.0551,"['trap queen', 'rap', 'new jersey underground rap']",7
sdp interlude,4gh0ZnHzaTMT1sDga7Ek0N,Birds In The Trap Sing McKnight,['Travis Scott'],0.599,0.507,0.586,0.0544,0.118,-8.15,0.0586,108.164,0.588,"['rap', 'slap house']",7
née-nah,2yUzr8Sr6ldG8vmHhZwTnz,american dream,"['21 Savage', 'Travis Scott', 'Metro Boomin']",0.00465,0.681,0.758,0.0,0.555,-6.524,0.188,165.409,0.331,"['rap', 'atl hip hop', 'slap house', 'hip hop']",7
Niagara Falls (Foot or 2) [with Travis Scott & 21 Savage],4WuOWVnAqvEQxgSRrspBgt,HEROES & VILLAINS,"['Metro Boomin', 'Travis Scott', '21 Savage']",0.175,0.667,0.648,0.000155,0.147,-5.117,0.284,87.975,0.254,"['rap', 'atl hip hop', 'slap house', 'hip hop']",7
Goosebumps - Remix,5uEYRdEIh9Bo4fpjDd4Na9,Goosebumps - Remix,"['Travis Scott', 'HVME']",0.418,0.841,0.593,0.0,0.124,-7.846,0.0379,124.917,0.808,"['rap', 'slap house']",7
"Link Up (Metro Boomin & Don Toliver, Wizkid feat. BEAM & Toian) - Spider-Verse Remix (Spider-Man: Across the Spider-Verse )",0y8Pu7x5jXgUjOIJvQIF5L,METRO BOOMIN PRESENTS SPIDER-MAN: ACROSS THE SPIDER-VERSE (SOUNDTRACK FROM AND INSPIRED BY THE MOTION PICTURE),"['Metro Boomin', 'Don Toliver', 'Wizkid', 'BEAM', 'Toian']",0.427,0.929,0.515,0.596,0.226,-8.103,0.0629,101.009,0.589,"['afrobeats', 'rap', 'nigerian pop', 'afropop', 'trap soul', 'canadian hip hop', 'nigerian hip hop', 'azonto']",7
Open Arms (feat. Travis Scott),6koKhrBBcExADvWuOgceNZ,SOS,"['SZA', 'Travis Scott']",0.753,0.434,0.586,0.0144,0.146,-7.612,0.138,78.259,0.239,"['slap house', 'rap', 'r&b', 'pop']",7
